0,1,2,3,4,5
DZA (18),BLZ (18),ARE (18),BDI (18),CUB (18),DJI (17)
LBY (18),MDV (18),AUS (18),BEN (18),GUY (17),SOM (17)
GRC (17),LKA (17),AUT (18),BFA (18),RUS (16),NPL (16)
BGR (16),VNM (17),BEL (18),CAF (18),ZAF (12),SUR (16)
BIH (16),TKM (16),CAN (18),CIV (18),CHN (11),YEM (16)
IRQ (16),KGZ (15),CHE (18),LBR (18),ARG (6),GMB (15)
LBN (16),THA (14),DNK (18),MDG (18),USA (6),BGD (8)
LVA (16),TJK (14),FIN (18),MLI (18),MEX (6),COM (8)
MAR (16),MNG (13),HKG (18),MWI (18),HRV (5),AFG (8)
PSE (16),MUS (13),IRL (18),NER (18),ITA (5),SYR (8)
TUR (16),XKX (12),ISL (18),SSD (18),SLV (5),HTI (7)
ALB (15),PRY (11),KWT (18),UGA (18),SAU (5),SDN (6)
ARM (15),UZB (11),LUX (18),AGO (17),COL (4),MMR (5)
EGY (15),IDN (10),NLD (18),COD (17),JOR (4),NIC (5)
ROU (15),HND (9),NOR (18),ETH (17),BOL (4),IND (4)
SRB (15),PAN (8),NZL (18),MOZ (17),ECU (3),GAB (4)
SVK (15),JAM (6),OMN (18),NGA (17),ESP (3),PAK (4)
TUN (15),BWA (6),QAT (18),RWA (17),NAM (3),GEO (3)
AZE (14),GTM (6),SGP (18),TCD (17),DOM (3),CMR (3)
BLR (14),MDA (6),SWE (18),TGO (17),MYS (3),GTM (3)
