0,1,2,3
CUB (18),ARE (18),AGO (18),DJI (18)
ECU (15),AUS (18),BDI (18),LBN (18)
SYR (14),AUT (18),BEN (18),MDV (18)
IRQ (13),BEL (18),BFA (18),SUR (18)
PER (12),CAN (18),BGD (18),AZE (17)
VEN (12),CHE (18),BTN (18),DZA (17)
GAB (11),DEU (18),CAF (18),GEO (17)
MDA (11),DNK (18),CIV (18),MNE (17)
SLV (11),FIN (18),CMR (18),TKM (17)
MKD (11),GBR (18),COD (18),BGR (16)
DOM (10),HKG (18),COG (18),BIH (16)
BOL (10),IRL (18),COM (18),GRC (16)
PAK (7),ISL (18),ETH (18),JAM (16)
ZAF (7),KWT (18),GIN (18),LVA (16)
PRT (7),LUX (18),GMB (18),MAR (16)
ALB (7),NLD (18),HTI (18),MNG (16)
PHL (7),NOR (18),KEN (18),PSE (16)
HRV (6),OMN (18),KHM (18),UKR (16)
MEX (5),QAT (18),LAO (18),TUR (16)
EGY (5),SGP (18),LBR (18),BWA (15)
